time	TH3	TH2	TH1	E8	E7	E6	E5	E3	E5_T3	E4_T3	E1_T2	Gn	Fn	En	Dn	Cn	Bn	An	Es	Ds	Cs	Bs	As	C2	C1	CM9	CM8	CM7	CM6.2	CM6	CM5	CM4	CM3	CM2	CM1	BS2	BS1	W4	W3_W2	W1
-8554.5												0																												
-8549.5												0.00E+00																												
-8544.5												0.00E+00																												
-8539.5												0.00E+00																												
-8534.5												0.00E+00																												
-8529.5												0.00E+00																												
-8524.5												0.00E+00																												
-8519.5												0.00E+00																												
-8514.5												0.00E+00																												
-8509.5												0.00E+00																												
-8504.5												0																												
-8499.5												0.00E+00																												
-8494.5												0.00E+00																												
-8489.5												0.00E+00																												
-8484.5												0.00E+00																												
-8479.5												0.00E+00																												
-8474.5												0.00E+00																												
-8469.5												0.00E+00																												
-8464.5												0																												
-8459.5												0.00E+00																												
-8454.5												0.00E+00																												
-8449.5												0.00E+00																												
-8444.5												0.00E+00																												
-8439.5												0.00E+00																												
-8434.5												0.00E+00																												
-8429.5												0.00E+00																												
-8424.5												0.00E+00																												
-8419.5												0.00E+00																												
-8414.5												0.00E+00																												
-8409.5												0.00E+00																												
-8404.5												0.00E+00																												
-8399.5												0.00E+00																												
-8394.5												0.00E+00																												
-8389.5												0.00E+00																												
-8384.5												0																												
-8379.5												0																												
-8374.5												0.00E+00																												
-8369.5												0.00E+00																												
-8364.5												0.00E+00																												
-8359.5												0																												
-8354.5												0																												
-8349.5												0.00E+00																												
-8344.5												0																												
-8339.5												0																												
-8334.5												0.00E+00																												
-8329.5												0.00E+00																												
-8324.5												0.00E+00																												
-8319.5									1.67E-06			0.00E+00																												
-8314.5									1.25E-06			0.00E+00																												
-8309.5									8.35E-07			0.00E+00																												
-8304.5									0.000001041			0																												
-8299.5									6.25E-07			0.00E+00																												
-8294.5									8.35E-07			0.00E+00																												
-8289.5									6.25E-07			0.00E+00																												
-8284.5									1.25E-06			0.00E+00																												
-8279.5									8.35E-07			0.00E+00																												
-8274.5									1.25E-06			0.00E+00																												
-8269.5									0.000001041			0																												
-8264.5									1.67E-06			0.00E+00																												
-8259.5									1.46E-06			0.00E+00																												
-8254.5									8.35E-07			0.00E+00																												
-8249.5									0.000001041			0																												
-8244.5									8.35E-07			0.00E+00																												
-8239.5									1.25E-06			0.00E+00																												
-8234.5									1.67E-06			0.00E+00																												
-8229.5									0.000001876			0																												
-8224.5									0.000002082			0																												
-8219.5									0.000001876			0																												
-8214.5									1.25E-06			0.00E+00																												
-8209.5									0.000001876			0																												
-8204.5									1.25E-06			0.00E+00																												
-8199.5									0.000002082			0																												
-8194.5									0.000002082			0																												
