time	Gn	Fn	Dn	Bn	An
-8554.5	0				
-8549.5	0.00E+00				
-8544.5	0.00E+00				
-8539.5	0.00E+00				
-8534.5	0.00E+00				
-8529.5	0.00E+00				
-8524.5	0.00E+00				
-8519.5	0.00E+00				
-8514.5	0.00E+00				
-8509.5	0.00E+00				
-8504.5	0				
-8499.5	0.00E+00				
-8494.5	0.00E+00				
-8489.5	0.00E+00				
-8484.5	0.00E+00				
-8479.5	0.00E+00				
-8474.5	0.00E+00				
-8469.5	0.00E+00				
-8464.5	0				
-8459.5	0.00E+00				
-8454.5	0.00E+00				
-8449.5	0.00E+00				
-8444.5	0.00E+00				
-8439.5	0.00E+00				
-8434.5	0.00E+00				
-8429.5	0.00E+00				
-8424.5	0.00E+00				
-8419.5	0.00E+00				
-8414.5	0.00E+00				
-8409.5	0.00E+00				
-8404.5	0.00E+00				
-8399.5	0.00E+00				
-8394.5	0.00E+00				
-8389.5	0.00E+00				
-8384.5	0				
-8379.5	0				
-8374.5	0.00E+00				
-8369.5	0.00E+00				
-8364.5	0.00E+00				
-8359.5	0				
-8354.5	0				
-8349.5	0.00E+00				
-8344.5	0				
-8339.5	0				
-8334.5	0.00E+00				
-8329.5	0.00E+00				
-8324.5	0.00E+00				
-8319.5	0.00E+00				
-8314.5	0.00E+00				
-8309.5	0.00E+00				
-8304.5	0				
-8299.5	0.00E+00				
-8294.5	0.00E+00				
-8289.5	0.00E+00				
-8284.5	0.00E+00				
-8279.5	0.00E+00				
-8274.5	0.00E+00				
-8269.5	0				
-8264.5	0.00E+00				
-8259.5	0.00E+00				
-8254.5	0.00E+00				
-8249.5	0				
-8244.5	0.00E+00				
-8239.5	0.00E+00				
-8234.5	0.00E+00				
-8229.5	0				
-8224.5	0				
-8219.5	0				
-8214.5	0.00E+00				
-8209.5	0				
-8204.5	0.00E+00				
-8199.5	0				
-8194.5	0				
-8189.5	0.00E+00				
-8184.5	0.00E+00				
-8179.5	0.00E+00				
-8174.5	0.00E+00				
-8169.5	0.00E+00				
-8164.5	0				
-8159.5	0				
-8154.5	0.00E+00				
-8149.5	0.00E+00				
-8144.5	0.00E+00				
-8139.5	0.00E+00				
-8134.5	0.00E+00				
-8129.5	0				
-8124.5	0.00E+00				
-8119.5	0.00E+00				
-8114.5	0.00E+00				
-8109.5	0.00E+00				
-8104.5	0				
-8099.5	0				
-8094.5	0				
-8089.5	0				
-8084.5	0.00E+00				
-8079.5	0.00E+00				
-8074.5	0				
-8069.5	0.00E+00				
-8064.5	0.00E+00				
-8059.5	0				
-8054.5	0.00E+00				
-8049.5	0				
-8044.5	0				
-8039.5	0.00E+00				
